GeoFIPS,GeoName,Region,Description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""20000""",Kansas,4, Gross domestic product (GDP) ,85990.5,88869.7,91359.0,95236.3,98913.7,105343.9,113831.8,123608.9,129223.2,126049.7,129235.7,136747.1,141812.1,144999.3,150276.1,155699.0,162144.5,166273.6,173373.0,176068.8,177209.6,191738.1,212611.6,228232.4
" ""21000""",Kentucky,5, Gross domestic product (GDP) ,114549.6,117767.9,122731.2,128289.6,135694.5,144914.9,153009.8,156900.0,160700.2,157440.1,166656.3,171238.1,178370.6,184920.6,188326.4,194621.2,197944.8,203564.0,210509.1,220678.8,218539.7,238428.9,261540.7,279707.5
" ""22000""",Louisiana,5, Gross domestic product (GDP) ,132375.8,138204.3,140082.8,155198.7,170999.6,199314.2,207249.8,203771.3,213803.5,206111.5,226555.6,230518.7,235960.9,231652.7,240965.0,234324.2,227440.3,239830.7,256444.4,257499.0,236216.3,267263.6,298424.5,314988.6
" ""23000""",Maine,1, Gross domestic product (GDP) ,37222.0,38925.7,40664.1,42493.4,45233.1,47028.1,48889.3,50291.3,51001.9,51451.2,52802.5,53104.5,54018.5,54924.8,56537.4,58755.8,61092.2,63000.6,66216.0,69708.7,72077.1,79193.9,86493.3,93270.0
" ""24000""",Maryland,2, Gross domestic product (GDP) ,191430.2,205276.0,217001.4,226803.4,243449.8,261795.3,273791.0,282618.2,292908.3,298282.8,313930.5,324920.9,331869.0,339895.8,351743.1,367314.1,386496.4,399714.5,410771.8,419391.6,413455.4,447753.6,484907.6,515607.3
" ""25000""",Massachusetts,1, Gross domestic product (GDP) ,287091.4,294876.4,299915.8,309736.1,324919.0,340637.8,358418.3,377985.6,387923.4,388963.9,409270.0,423684.9,441373.9,452580.4,469824.9,497767.0,514108.0,530129.4,559605.0,588069.5,592653.0,649511.4,695612.1,736296.3
" ""26000""",Michigan,3, Gross domestic product (GDP) ,351879.5,349127.5,363372.1,376123.8,388764.6,402828.8,402537.3,410613.0,391633.6,371707.0,393179.6,408354.1,426141.1,441470.8,456123.5,479222.7,494752.5,505101.5,525240.8,540237.3,529675.6,575116.4,627009.1,673818.1
" ""27000""",Minnesota,4, Gross domestic product (GDP) ,192389.5,196869.4,204061.1,215975.1,231949.4,244635.4,252357.6,261250.7,268771.5,262628.8,274649.2,287070.8,298641.4,311752.1,324701.5,336762.0,345248.8,354721.9,372439.2,384850.2,378746.6,416538.7,454992.8,483162.1
" ""28000""",Mississippi,5, Gross domestic product (GDP) ,66051.5,67750.2,69704.9,74418.4,78680.1,82991.6,87596.7,91876.5,95179.3,92378.0,94788.3,96799.1,100905.4,103042.6,105219.5,106623.9,107795.4,110281.4,113166.4,116135.7,116709.4,129944.7,142762.3,151146.7
" ""29000""",Missouri,4, Gross domestic product (GDP) ,187012.8,190388.7,197399.0,206005.2,216977.5,227594.6,235816.9,244085.3,256431.1,254306.2,262013.4,263330.0,272482.4,282659.7,289340.7,299597.7,304143.3,311273.8,320451.6,334750.2,335285.1,366441.5,400265.1,430114.4
" ""30000""",Montana,7, Gross domestic product (GDP) ,21935.4,22798.0,23886.0,25781.1,28138.8,30823.7,33088.0,36116.1,37028.0,35880.0,38080.3,40592.3,42150.2,43584.0,45203.8,46542.4,45859.4,48470.5,51152.1,52715.6,52958.8,60399.7,68702.0,73254.5
" ""31000""",Nebraska,4, Gross domestic product (GDP) ,56582.7,59634.3,61569.5,66471.7,70445.4,74886.7,79287.5,84291.9,86146.6,87325.5,91940.7,100526.5,102949.7,107247.0,112763.3,117402.3,119389.8,123219.9,127954.4,132848.2,135149.4,150836.1,167480.2,181285.0
" ""32000""",Nevada,8, Gross domestic product (GDP) ,77181.5,80968.6,85541.0,91365.0,104132.0,117165.1,126613.4,132045.4,130570.9,122471.2,125149.0,128638.4,130238.2,133592.5,136918.4,145786.8,153318.0,163199.1,172547.9,184611.1,176296.3,201705.7,227320.6,245978.8
" ""33000""",New Hampshire,1, Gross domestic product (GDP) ,45604.9,47037.3,49109.6,51609.7,54545.7,56914.6,60152.7,61984.8,62095.3,63052.2,65310.8,66557.3,68412.0,70897.4,73455.1,77385.8,79759.7,81179.6,83859.4,87868.2,88527.7,99092.6,106488.0,114100.8
" ""34000""",New Jersey,2, Gross domestic product (GDP) ,360530.4,372819.2,385045.6,399996.5,415490.8,436064.4,457681.5,474539.6,493289.4,481452.7,491229.0,494292.8,516098.2,534212.1,543824.1,565807.7,578651.4,590086.7,619340.2,643317.7,631552.3,695443.2,758288.7,806665.2
" ""35000""",New Mexico,6, Gross domestic product (GDP) ,55002.2,55660.2,57718.3,62867.9,70593.4,74130.9,78008.2,81100.3,84339.7,82641.3,84862.6,87056.0,87681.0,88773.3,92523.4,90779.4,90476.0,93210.1,98838.2,103821.0,100656.4,112978.5,128138.8,135009.6
" ""36000""",New York,2, Gross domestic product (GDP) ,839853.0,876285.2,885386.2,908535.2,958565.3,1009851.0,1072271.8,1116265.3,1107860.2,1155492.3,1217748.0,1245769.4,1324471.3,1364632.9,1434606.3,1498474.7,1556830.0,1624800.7,1710665.6,1787470.9,1773369.8,1923413.3,2052758.8,2172009.6
" ""37000""",North Carolina,5, Gross domestic product (GDP) ,277556.1,287317.1,297653.0,310200.3,329017.7,354798.5,388012.1,402188.3,420707.2,413096.8,422282.2,430040.1,444063.2,460946.4,482295.7,508672.4,528284.3,546810.1,568037.3,592449.6,600683.3,662147.1,728498.7,788103.2
" ""38000""",North Dakota,4, Gross domestic product (GDP) ,18115.1,18976.9,20195.6,22129.9,23209.6,24572.0,26406.5,29044.6,32027.7,32310.4,35651.8,41602.1,52079.1,54877.0,61108.3,56952.2,52666.3,56530.2,60377.1,60892.5,55568.5,63838.5,73780.0,76043.3
" ""39000""",Ohio,3, Gross domestic product (GDP) ,391032.3,395864.2,411191.1,425530.7,447813.3,470179.5,482904.0,497600.1,500916.4,484407.1,500274.2,525456.4,543035.4,566419.9,597152.3,615275.5,627294.7,652187.5,672540.1,702914.8,692683.7,763595.8,832660.7,884834.2
" ""40000""",Oklahoma,6, Gross domestic product (GDP) ,91645.7,97505.3,99916.9,106175.1,114237.5,125961.4,138352.3,146582.4,161609.0,147332.4,155267.5,167207.9,175361.2,184104.6,197074.1,187364.7,182238.8,192538.6,204193.9,205992.7,192516.2,217786.5,245976.2,256689.4
" ""41000""",Oregon,8, Gross domestic product (GDP) ,117057.2,117002.4,120556.1,126822.1,136495.9,143556.3,153779.6,159676.2,164122.9,159330.4,163150.5,169693.8,173856.8,178975.4,187837.6,200592.6,211782.4,225534.5,238466.9,248781.8,251577.7,275653.1,298848.0,318884.1
" ""42000""",Pennsylvania,2, Gross domestic product (GDP) ,409330.2,428463.7,440887.5,460478.3,486384.5,510763.9,528771.2,563238.6,586886.6,581219.9,604629.6,623767.9,646434.3,670767.4,695546.6,716534.3,733165.9,754318.0,780620.7,802233.1,777000.8,844431.8,919741.1,976360.8
" ""44000""",Rhode Island,1, Gross domestic product (GDP) ,34608.5,35940.1,37891.2,39787.1,42578.2,44413.3,47165.3,47490.1,47138.9,47647.2,49409.1,50123.7,51527.5,52994.2,54612.5,56604.0,57714.6,58771.6,60064.9,62814.7,62124.9,67228.3,72869.2,77573.9
" ""45000""",South Carolina,5, Gross domestic product (GDP) ,115332.7,119355.2,124765.2,131509.1,136679.9,145195.8,153453.4,162476.3,164471.2,162380.4,166767.4,172844.7,178503.9,186268.3,195744.4,207510.0,217555.5,224937.6,236561.7,249575.7,249430.2,272384.7,301945.1,327420.1
" ""46000""",South Dakota,4, Gross domestic product (GDP) ,22866.7,23626.9,26343.5,27305.0,29380.9,31104.3,32559.3,35282.6,36939.3,36732.1,38208.2,42082.7,44127.3,45498.6,47159.9,48678.9,49842.6,51615.1,53349.5,55175.8,56254.4,62984.8,69069.3,74033.9
" ""47000""",Tennessee,5, Gross domestic product (GDP) ,182209.7,185917.2,195386.1,204665.9,219862.4,231339.0,243104.4,248261.6,255546.7,252940.7,258657.6,270055.0,285897.5,296756.3,307448.5,326382.5,339350.2,355417.5,369713.2,385833.0,391563.2,441952.5,488670.1,523031.6
" ""48000""",Texas,6, Gross domestic product (GDP) ,742161.5,780206.2,796357.3,840860.8,921230.7,1003745.9,1108236.5,1198565.0,1253142.0,1179168.1,1255660.8,1351776.9,1429588.0,1526781.9,1592177.6,1585985.9,1582981.5,1667313.0,1808026.9,1864872.3,1802143.7,2088972.3,2436925.0,2583866.2
" ""49000""",Utah,7, Gross domestic product (GDP) ,70056.3,73042.5,76289.4,79504.7,86766.7,95512.0,106787.1,115180.7,116949.2,113834.8,118296.3,125137.8,129431.4,135344.3,142627.7,149762.1,159330.6,172075.0,186805.7,201312.2,205647.9,232561.9,261080.8,281329.1
" ""50000""",Vermont,1, Gross domestic product (GDP) ,18492.9,19467.1,20383.5,21398.5,22986.3,23763.0,24507.1,25025.2,26140.4,26220.0,27478.3,28558.5,29325.6,29477.6,30359.4,31152.4,31840.2,32589.2,33482.6,34760.3,34414.9,37438.8,41011.6,43533.8
" ""51000""",Virginia,5, Gross domestic product (GDP) ,268608.7,285663.4,294929.1,311093.1,331815.8,357427.0,376429.4,391595.5,402157.8,409935.3,425490.8,433683.7,445008.5,456911.6,465601.7,485540.9,499032.4,515167.2,537158.3,561701.8,565466.8,615984.7,666681.8,719896.9
" ""53000""",Washington,8, Gross domestic product (GDP) ,237594.0,237978.2,245629.8,254720.2,267423.9,293402.0,314190.8,341712.3,352460.7,349945.4,363544.2,377518.8,398358.5,416924.1,439851.2,467590.6,489790.2,527169.4,570337.8,608643.4,620132.9,687702.3,742909.5,807864.5
" ""54000""",West Virginia,5, Gross domestic product (GDP) ,42620.7,44105.1,45627.4,47230.4,49865.9,53814.3,57204.1,59480.4,62978.7,64040.1,66160.4,69367.6,70303.1,71758.6,73042.6,71713.4,71248.9,75172.4,79794.3,80242.4,77430.9,86550.5,98290.0,102151.8
" ""55000""",Wisconsin,3, Gross domestic product (GDP) ,180883.1,188662.8,195541.5,203814.0,216370.4,226937.5,237571.9,245837.7,246493.0,246323.8,256159.5,265444.0,276253.4,283791.4,296169.9,308304.5,315420.0,321886.8,335144.3,346906.6,343272.2,368880.4,400621.4,428447.1
" ""56000""",Wyoming,7, Gross domestic product (GDP) ,17153.7,18741.7,19160.8,21199.0,23418.1,27530.2,32692.2,36912.8,42694.6,36282.2,37567.5,39615.1,38679.3,39365.6,40573.9,38624.8,36105.9,37620.3,39614.5,40029.5,36709.6,42319.1,49782.6,51990.5
